occupation_d,barrera más significativa para realizar tu trabajo de forma remota,barrera menos significativa para realizar tu trabajo de forma remota,mejor aspecto del trabajo remoto para ti,peor aspecto del trabajo remoto para ti
Conductores de Carretera y Ferrocarril,Conectividad (conexión a internet),Mi espacio de trabajo,Preparación para el trabajo y el desplazamiento,Mi bienestar mental
Profesionales de la Salud,Dificultad para colaborar de forma remota,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Gerentes Especialistas,Sentirse excluido y/o aislado,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Gerentes Especialistas,Equipos de IT ,Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Profesionales de Tecnologías de la Información y Comunicación,Conectividad (conexión a internet),Equipos de IT ,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
Representantes y Agentes de Ventas,Gestión deficiente,Equipos de IT ,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Equipos de IT ,Falta de motivación,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Dificultad para colaborar de forma remota,Gestión deficiente,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
"Profesionales de Negocios, Recursos Humanos y Marketing",Falta de motivación,La dirección desalienta el trabajo remoto,Mis gastos diarios,Mi bienestar mental
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Profesionales de Tecnologías de la Información y Comunicación,Responsabilidades de cuidado,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Mi satisfacción laboral
Representantes y Agentes de Ventas,Sentirse excluido y/o aislado,Falta de motivación,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
"Directores Ejecutivos, Gerentes Generales y Legisladores",Sentirse excluido y/o aislado,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Conectividad (conexión a internet),Mi situación de vida,La cantidad de horas que trabajo,Mis relaciones laborales
Profesionales de la Educación,Dificultad para colaborar de forma remota,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Mi satisfacción laboral
"Gerentes de Hospitalidad, Retail y Servicios",Falta de motivación,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
Representantes y Agentes de Ventas,Mi situación de vida,Conectividad (conexión a internet),Gestionar mis responsabilidades familiares,Mi bienestar mental
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Sentirse excluido y/o aislado,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Gerentes Especialistas,Sentirse excluido y/o aislado,Falta de motivación,Gestionar mis compromisos personales,La cantidad de horas que trabajo
"Gerentes de Hospitalidad, Retail y Servicios",Gestión deficiente,Responsabilidades de cuidado,Mis relaciones laborales,Gestionar mis responsabilidades familiares
Gerentes de Oficina y Administradores de Programas,Equipos de IT ,Gestión deficiente,Gestionar mis responsabilidades familiares,Preparación para el trabajo y el desplazamiento
"Directores Ejecutivos, Gerentes Generales y Legisladores",Ciberseguridad,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Preparación para el trabajo y el desplazamiento
Gerentes de Oficina y Administradores de Programas,Sentirse excluido y/o aislado,Falta de motivación,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
"Directores Ejecutivos, Gerentes Generales y Legisladores",Falta de motivación,Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Profesionales de Tecnologías de la Información y Comunicación,Sentirse excluido y/o aislado,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,Mi equilibrio entre el trabajo y la vida personal
"Profesionales Legales, Sociales y de Bienestar",Dificultad para colaborar de forma remota,Conectividad (conexión a internet),Gestionar mis responsabilidades familiares,Mis oportunidades de socializar
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,Gestión deficiente,Mis gastos diarios,Mi bienestar mental
Gerentes de Oficina y Administradores de Programas,Dificultad para colaborar de forma remota,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Hospitalidad,Responsabilidades de cuidado,Mi situación de vida,Mi satisfacción laboral,Mis relaciones personales
Asistentes Personales y Secretarias,Equipos de IT ,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",La dirección desalienta el trabajo remoto,Falta de motivación,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Conectividad (conexión a internet),Gestión deficiente,Mi bienestar mental,Preparación para el trabajo y el desplazamiento
Profesionales de las Artes y los Medios,Falta de motivación,La dirección desalienta el trabajo remoto,Mi satisfacción laboral,La cantidad de horas que trabajo
"Profesionales Legales, Sociales y de Bienestar",Responsabilidades de cuidado,Falta de motivación,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
"Profesionales de Negocios, Recursos Humanos y Marketing",Conectividad (conexión a internet),Gestión deficiente,Gestionar mis responsabilidades familiares,Mis oportunidades de socializar
Gerentes de Oficina y Administradores de Programas,Equipos de IT ,Gestión deficiente,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Profesionales de Tecnologías de la Información y Comunicación,La dirección desalienta el trabajo remoto,Falta de motivación,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Clerks Numéricos,Conectividad (conexión a internet),Falta de motivación,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
Soporte de Ventas,Sentirse excluido y/o aislado,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Apoyo Clerical y de Oficina,Conectividad (conexión a internet),Falta de motivación,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
Clerical General,Responsabilidades de cuidado,Tengo tareas que no se pueden realizar de forma remota,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
Gerentes de Oficina y Administradores de Programas,Tengo tareas que no se pueden realizar de forma remota,Mi situación de vida,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Gerentes Especialistas,Dificultad para colaborar de forma remota,Mi situación de vida,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
Otros Clericales y Administrativos,Conectividad (conexión a internet),Falta de motivación,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
Profesionales de Tecnologías de la Información y Comunicación,Dificultad para colaborar de forma remota,Equipos de IT ,Preparación para el trabajo y el desplazamiento,Mis gastos diarios
Apoyo Clerical y de Oficina,Falta de motivación,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
Profesionales de la Educación,Dificultad para colaborar de forma remota,Equipos de IT ,La cantidad de horas que trabajo,Mis relaciones laborales
Profesionales de la Educación,El software y los sistemas de mi organización,Responsabilidades de cuidado,La cantidad de horas que trabajo,Mis oportunidades de aprendizaje en el trabajo
Otros Técnicos y Oficios,Conectividad (conexión a internet),Falta de motivación,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
Apoyo Clerical y de Oficina,Sentirse excluido y/o aislado,Responsabilidades de cuidado,Mis relaciones personales,Mis oportunidades de aprendizaje en el trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",La dirección desalienta el trabajo remoto,Responsabilidades de cuidado,Mi bienestar mental,Gestionar mis responsabilidades familiares
Clerks Numéricos,Equipos de IT ,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,Mis oportunidades de aprendizaje en el trabajo
"Gerentes de Hospitalidad, Retail y Servicios",Responsabilidades de cuidado,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Gestionar mis responsabilidades familiares
,Sentirse excluido y/o aislado,Falta de motivación,La cantidad de horas que trabajo,Mis relaciones laborales
Clerical General,La dirección desalienta el trabajo remoto,Sentirse excluido y/o aislado,Preparación para el trabajo y el desplazamiento,Gestionar mis responsabilidades familiares
Asistentes Personales y Secretarias,Conectividad (conexión a internet),Gestión deficiente,Mis relaciones laborales,Mi bienestar mental
"Directores Ejecutivos, Gerentes Generales y Legisladores",Responsabilidades de cuidado,Mi situación de vida,Mis oportunidades de aprendizaje en el trabajo,Mi equilibrio entre el trabajo y la vida personal
Otros Clericales y Administrativos,Tengo tareas que no se pueden realizar de forma remota,Sentirse excluido y/o aislado,Mi satisfacción laboral,Mis oportunidades de socializar
Otros Clericales y Administrativos,Equipos de IT ,Sentirse excluido y/o aislado,Mi satisfacción laboral,Mis oportunidades de aprendizaje en el trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Sentirse excluido y/o aislado,Equipos de IT ,Mis gastos diarios,Mis relaciones laborales
Profesionales de Tecnologías de la Información y Comunicación,Sentirse excluido y/o aislado,Falta de motivación,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
Profesionales de Tecnologías de la Información y Comunicación,Conectividad (conexión a internet),Dificultad para colaborar de forma remota,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
"Profesionales de Negocios, Recursos Humanos y Marketing",La dirección desalienta el trabajo remoto,Sentirse excluido y/o aislado,Mis gastos diarios,Mis oportunidades de aprendizaje en el trabajo
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Conectividad (conexión a internet),Tengo tareas que no se pueden realizar de forma remota,Mis oportunidades de socializar,Mis gastos diarios
Otros Clericales y Administrativos,Responsabilidades de cuidado,Mi espacio de trabajo,Gestionar mis responsabilidades familiares,Mi satisfacción laboral
Profesionales de las Artes y los Medios,Responsabilidades de cuidado,Falta de motivación,Mis gastos diarios,Gestionar mis responsabilidades familiares
"Directores Ejecutivos, Gerentes Generales y Legisladores",Sentirse excluido y/o aislado,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
Clerical General,Sentirse excluido y/o aislado,Falta de motivación,Preparación para el trabajo y el desplazamiento,Mi bienestar mental
Otros Clericales y Administrativos,Gestión deficiente,Responsabilidades de cuidado,Mi bienestar mental,Mis oportunidades de socializar
Profesionales de la Educación,Tengo tareas que no se pueden realizar de forma remota,Mi situación de vida,Mi equilibrio entre el trabajo y la vida personal,Mi bienestar mental
Profesionales de la Educación,Dificultad para colaborar de forma remota,Mi espacio de trabajo,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Apoyo Clerical y de Oficina,Sentirse excluido y/o aislado,El software y los sistemas de mi organización,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Conectividad (conexión a internet),Sentirse excluido y/o aislado,La cantidad de horas que trabajo,Mi equilibrio entre el trabajo y la vida personal
